name
American University
Auburn University
Baylor University
Binghamton University--SUNY
Boston College
Boston University
Brandeis University
Brigham Young University--Provo
Brown University
California Institute of Technology
Carnegie Mellon University
Case Western Reserve University
Clemson University
College of William Mary
Colorado School of Mines
Columbia University
Cornell University
Dartmouth College
Duke University
Elon University
Emory University
Florida State University
Fordham University
George Washington University
Georgetown University
Georgia Institute of Technology
Gonzaga University
Harvard University
Howard University
Indiana University--Bloomington
Johns Hopkins University
Lehigh University
Marquette University
Massachusetts Institute of Technology
Michigan State University
New York University
North Carolina State University
Northeastern University
Northwestern University
Pennsylvania State University--University Park
Pepperdine University
Princeton University
Purdue University--West Lafayette
Rensselaer Polytechnic Institute
Rice University
Rutgers University--New Brunswick
Santa Clara University
Southern Methodist University
Stanford University
Stevens Institute of Technology
Stony Brook University--SUNY
Syracuse University
Texas A M University
Texas Christian University
Tufts University
Tulane University
University at Buffalo--SUNY
University of Arizona
University of California--Berkeley
University of California--Davis
University of California--Irvine
University of California--Los Angeles
University of California--Merced
University of California--Riverside
University of California--San Diego
University of California--Santa Barbara
University of California--Santa Cruz
University of Chicago
University of Denver
University of Florida
University of Georgia
University of Iowa
University of Maryland--College Park
University of Massachusetts--Amherst
University of Miami
University of Michigan
University of Minnesota--Twin Cities
University of North Carolina at Chapel Hill
University of Notre Dame
University of Pennsylvania
University of Pittsburgh--Pittsburgh Campus
University of Rochester
University of San Diego
University of Southern California
University of Texas at Austin
University of Virginia
University of Washington
University of Wisconsin--Madison
University of illinois at Urbana Champaign
Vanderbilt University
Villanova University
Virginia Tech
Wake Forest University
Washington University in St Louis
Worcester Polytechnic Institute
Yale University
Yeshiva University
